N;Pregunta;Opcion_A;Opcion_B;Opcion_C;Opción_D;Respuesta_Correcta;Explicacion;Dominio_ECO;Oficial_PMI;Enfoque;Mindset _Clave
115;¿Qué se debe hacer si un entregable es rechazado en la validación del alcance?;Incluirlo como una lección aprendida;Volver a revisarlo en control de calidad;Actualizar el registro de interesados;Escalar el rechazo al comité de dirección;B;Primero se revisa técnicamente el entregable para corregir cualquier incumplimiento antes de revalidarlo.;Entorno;Tarea 2: Valor;Ágil;MINDSET: En ágil, el éxito se mide por la satisfacción del cliente y la calidad del software, no por seguir un plan rígido.
116;¿Cuál es la diferencia principal entre un riesgo y un problema (issue)?;El riesgo no tiene dueño, el problema sí;El problema ya ocurrió, el riesgo es potencial;El riesgo se puede ignorar, el problema no;El problema se planifica, el riesgo no;B;"El riesgo es una condición incierta; un problema es un evento que ya ha impactado el proyecto.";Personas;Tarea 9: Apoyar desempeño;Híbrido;TRICK: Si un miembro del equipo destaca, el reconocimiento público es una gran herramienta, pero asegúrate de que sea genuino.
117;¿Qué documento define cómo se capturarán y gestionarán las lecciones aprendidas?;Plan de gestión del conocimiento;Plan de calidad;Registro de riesgos;Plan de adquisiciones;A;Este plan define procesos para recopilar, documentar y reutilizar el conocimiento adquirido.;Procesos;Tarea 3: Riesgos;Predictivo;"RIESGO vs ISSUE: El ""Dueño del Riesgo"" es la persona encargada de monitorear y ejecutar la respuesta si el riesgo ocurre."
118;¿Qué es un entregable?;Actividad de cierre del proyecto;Documento de planificación interna;Producto, servicio o resultado verificable del proyecto;Requisito del cliente sin validar;C;Un entregable es todo resultado tangible o intangible generado por el proyecto.;Personas;Tarea 4: Empoderamiento;Ágil;MINDSET: El equipo estima usando Fibonacci (1, 2, 3, 5, 8...). Esto ayuda a manejar la incertidumbre en lugar de usar horas exactas.
119;¿Qué se utiliza para priorizar riesgos cuando se dispone de una gran cantidad de ellos?;Análisis de Monte Carlo;Matriz de probabilidad e impacto;Análisis de valor ganado;Método del camino crítico;B;La matriz ayuda a clasificar riesgos según su probabilidad de ocurrencia y su impacto.;Procesos;Tarea 15: Cierre de fase;Predictivo;PUERTA DE FASE: Es el momento de revisar si los entregables de la fase actual justifican seguir invirtiendo en la fase siguiente.
120;¿Cuál es la mejor acción para mejorar el desempeño de un equipo desmotivado?;Aplicar sanciones;Reasignar recursos;Facilitar sesiones de coaching o team building;Acortar los plazos del proyecto;C;Mejorar la cohesión y comunicación del equipo puede elevar su desempeño y motivación.;Entorno;Tarea 4: Cambio org.;Híbrido;TRICK: Gestiona la resistencia al cambio identificando a los detractores temprano y convirtiéndolos en aliados mediante comunicación.
121;"Debido a una escasez de recursos, la actividad E podría retrasarse 2 días. El stackeholder pregunta si este retraso afectará la fecha de finalización general del proyecto. ![](media/image1.png){width=""6.267716535433071in"" height=""3.013888888888889in""} ¿Qué debería hacer primero el director del proyecto?";Notificar a los interesados que la fecha de finalización del proyecto se retrasará a menos que se agreguen más recursos;Realizar un análisis de la ruta crítica para evaluar el impacto del retraso;Solicitar un cambio para acelerar (fast-track) las actividades B y C para compensar el retraso de E;Agregar un margen de reserva después de la Actividad F para proteger la entrega final;B;Una pequeña ayuda para resolver el ejercicio 1) Identificar las rutas desde el inicio hasta el final: - Ruta 1: A → B → D → F - Ruta 2: A → C → D → F - Ruta 3: A → C → E → F 2) Calcular la duración de cada ruta Ruta 1: A-B-D-F A(5) + B(3) + D(2) + F(3) = 13 días Ruta 2: A-C-D-F A(5) + C(4) + D(2) + F(3) = 14 días Ruta 3: A-C-E-F A(5) + C(4) + E(6) + F(3) = 18 días 3) Identificar la ruta crítica La ruta más larga es la ruta crítica, porque determina la duración del proyecto. - La ruta más larga e;Procesos;Tarea 11: Adquisiciones;Predictivo;"CONTRATOS: En un contrato de ""Tiempo y Materiales"", el comprador asume el riesgo de que el proyecto tome más tiempo de lo previsto."
122;Un director de proyecto descubre que un miembro clave del equipo no está cumpliendo con sus plazos debido a falta de habilidades específicas. ¿Cuál debería ser la MEJOR acción del director de proyecto?;Reemplazar al miembro del equipo inmediatamente;Asignarle tareas menos críticas para el proyecto;Proporcionar coaching o capacitación y monitorear su progreso;Escalar el problema al patrocinador para que tome una decisión;C;La gestión de recursos incluye el desarrollo del equipo. El coaching y la capacitación son herramientas para mejorar el desempeño individual.;Personas;Tarea 5: Capacitar al equipo;Predictivo;PMI Mindset: Ante baja de desempeño, primero coaching/capacitación. Reemplazar es último recurso.
123;Durante el monitoreo y control del proyecto, el director del proyecto nota que el índice de desempeño del cronograma (SPI) ha sido consistentemente menor a 1 por varios ciclos. ¿Qué implica esto y cuál es la MEJOR acción a tomar?;"El proyecto está adelantado; no se requiere acción";"El proyecto está atrasado; se debe revisar la línea base del cronograma para ajustar las expectativas";"El proyecto está atrasado; se debe identificar la causa raíz de los retrasos y tomar acciones correctivas";"El proyecto está dentro del presupuesto; se debe ignorar el SPI y enfocarse en el CPI";C;Un SPI < 1 indica que el proyecto está atrasado. El primer paso es entender por qué, para luego aplicar acciones correctivas.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;SPI < 1 = atrasado. Acción PMI: identificar causa raíz y tomar correctivas. No ajustar la línea base.
124;En un entorno ágil, el equipo de desarrollo está sobrecargado con nuevas solicitudes que provienen directamente de varios interesados. ¿Quién es el PRINCIPAL responsable de gestionar estas solicitudes y mantener la claridad del trabajo?;El Scrum Master, para proteger al equipo de interrupciones;El Director de Proyecto, para asegurar el cumplimiento del alcance;El Product Owner, para priorizar el backlog y comunicarlo al equipo;Los Interesados, ya que ellos definen las necesidades del producto;C;El Product Owner es el único punto de contacto para las nuevas solicitudes y es responsable de la gestión y priorización del Product Backlog.;Personas;Tarea 9: Comprometer interesados;Ágil;PMI Mindset: En ágil, el Product Owner filtra y prioriza solicitudes. El equipo no recibe trabajo directo de interesados.
125;Un proyecto se encuentra en su fase de ejecución, y un interesado clave que previamente se mostraba muy positivo, ahora se muestra resistente a las decisiones del equipo. ¿Qué debería hacer el director del proyecto PRIMERO?;Informar al patrocinador sobre la resistencia del interesado;Ignorar al interesado si su influencia es baja;Revisar el registro de interesados y actualizar la estrategia de involucramiento;Eliminar al interesado del registro de interesados si es un obstáculo;C;El involucramiento de los interesados es dinámico. Cuando hay un cambio en su actitud o influencia, se debe revisar su análisis y ajustar la estrategia de comunicación/involucramiento.;Personas;Tarea 9: Comprometer interesados;Predictivo;PMI Mindset: Cambio en actitud de interesado = revisar el registro y actualizar la estrategia. Nunca ignorar.
126;¿Cuál es el principal beneficio de celebrar reuniones diarias (Daily Scrum) en un proyecto ágil?;Proporcionar un informe de estado detallado al Product Owner;Resolver todos los impedimentos del equipo;Sincronizar las actividades del equipo y planificar el trabajo para las próximas 24 horas;Asignar nuevas tareas a los miembros del equipo;C;La Daily Scrum es un evento de inspección y adaptación diario para que el equipo de desarrollo se sincronice y planifique su trabajo hacia el Sprint Goal.;Personas;Tarea 3: Promover colaboración;Ágil;PMI Mindset: Daily Standup = sincronizar equipo para 24h. No es una reunión de reporte al PM.
127;Estás en la fase de planificación de un proyecto y necesitas estimar la duración de una actividad compleja que no tiene precedentes en tu organización. ¿Qué técnica de estimación sería la MENOS apropiada en este escenario?;Estimación por tres valores (PERT);Estimación paramétrica;Estimación análoga;Estimación ascendente (bottom-up);C;La estimación análoga se basa en datos históricos de proyectos similares. Si no hay precedentes, esta técnica sería la menos fiable. La paramétrica requiere datos de relaciones estadísticas, PERT y bottom-up son más adecuadas para actividades con incertidumbre o sin datos históricos directos.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;Estimación análoga = usa datos históricos de proyectos similares. Rápida pero menos precisa. Para etapas tempranas.
128;Un proyecto predictivo ha completado un entregable importante. ¿Cuál es el siguiente paso CLAVE para asegurar su aceptación formal por parte del cliente?;Realizar un control de calidad interno;Presentar el entregable para la validación del alcance;Actualizar el plan de gestión del alcance;Cerrar la fase del proyecto;B;Después del control de calidad (que asegura que cumple con los estándares), el entregable se somete a la validación del alcance para obtener la aceptación formal del cliente o patrocinador.;Procesos;Tarea 5: Gestionar alcance;Predictivo;PMI Mindset: Cambio aprobado de alcance requiere actualizar la línea base. Sin actualización no hay referencia válida.
129;En un proyecto, el equipo de desarrollo detecta un problema técnico inesperado que no fue identificado como riesgo, pero que podría afectar críticamente el cronograma si no se resuelve pronto. ¿Qué debería hacer el director del proyecto PRIMERO?;Ignorarlo si no está en el registro de riesgos;Detener el proyecto hasta que se resuelva el problema;Añadirlo al registro de problemas y buscar una solución inmediata;Escalarlo directamente al patrocinador sin análisis previo;C;Los eventos inesperados y negativos que ya ocurrieron son problemas (issues). Deben registrarse, analizarse y abordarse proactivamente.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;PMI Mindset: Riesgo recién identificado → registrar en Risk Log, analizar y planificar respuesta. No escalar sin análisis.
129;¿Cuál es el propósito principal de un caso de negocio (Business Case) en la iniciación de un proyecto?;Detallar el cronograma del proyecto;Formalizar la autoridad del director del proyecto;Justificar la viabilidad económica y estratégica del proyecto;Listar a todos los interesados del proyecto;C;El Business Case proporciona la justificación documentada para iniciar un proyecto o una fase, incluyendo los beneficios económicos esperados.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;PMI Mindset: Riesgo recién identificado → registrar en Risk Log, analizar y planificar respuesta. No escalar sin análisis.
130;Un proyecto se enfrenta a una alta incertidumbre debido a tecnologías emergentes y requisitos cambiantes. ¿Qué enfoque del ciclo de vida del proyecto sería el más adecuado en este escenario?;Predictivo;Cascada;Iterativo o Ágil;Híbrido con un fuerte componente predictivo;C;Los enfoques iterativos o ágiles son ideales para entornos de alta incertidumbre y requisitos cambiantes, ya que permiten la adaptación continua.;Entorno;Tarea 2: Evaluar beneficios;Híbrido;PMI Mindset: El Business Case justifica el proyecto. En entornos ágiles/iterativos se prefiere por permitir adaptación.
131;Un director de proyecto está supervisando un proyecto de infraestructura financiado por el gobierno. Durante las evaluaciones de adquisición, un miembro del equipo recomienda adjudicar el contrato a un proveedor para el que trabajaron anteriormente, citando un sólido rendimiento pasado. Sin embargo, la oferta del proveedor no es la más rentable ni técnicamente superior. ¿Qué debe hacer el director del proyecto a continuación?;Aceptar la recomendación ya que el miembro del equipo tiene experiencia relevante con el proveedor;Proceder con la adjudicación del contrato al proveedor para mantener la armonía del equipo;En este escenario, existe un claro conflicto de intereses potencial o real por parte del miembro del equipo que recomienda a un proveedor anterior. Aunque la experiencia pasada es valiosa, la recomendación no se basa en el mejor interés del proyecto (ya que la oferta no es la más rentable ni técnicamente superior). El director del proyecto tiene la responsabilidad ética y fiduciaria de asegurar un proceso de adquisición justo y en el mejor interés del proyecto. Escalar esto a un comité relevante (adquisiciones o ética) es la acción apropiada para abordar el posible sesgo y garantizar la transparencia y la integridad del proceso;Pedir al miembro del equipo que se retire del proceso de evaluación para evitar sesgos;C;En este escenario, existe un claro conflicto de intereses potencial o real por parte del miembro del equipo que recomienda a un proveedor anterior. Aunque la experiencia pasada es valiosa, la recomendación no se basa en el mejor interés del proyecto (ya que la oferta no es la más rentable ni técnicamente superior). El director del proyecto tiene la responsabilidad ética y fiduciaria de asegurar un proceso de adquisición justo y en el mejor interés del proyecto. Escalar esto a un comité relevante;Personas;Tarea 7: Demostrar liderazgo;Predictivo;Ética PMI: Conflicto de interés en adquisiciones = escalar al comité de ética/adquisiciones. La integridad del proceso es prioritaria.
132;Si el CPI de tu proyecto es 1.05 y el SPI es 0.90, ¿qué conclusión puedes sacar sobre el rendimiento actual del proyecto?;El proyecto está adelantado y bajo presupuesto;El proyecto está atrasado y bajo presupuesto;El proyecto está atrasado y sobre presupuesto;El proyecto está adelantado y sobre presupuesto;B;Un CPI > 1 indica que el proyecto está bajo presupuesto (eficiente en costos). Un SPI < 1 indica que el proyecto está atrasado.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;CPI < 1 Y SPI < 1 = atrasado y sobre presupuesto. Doble problema que requiere acción correctiva inmediata.
133;¿Qué documento se crea al finalizar un contrato en un proyecto y registra la aceptación formal del comprador y el vendedor de que las obligaciones contractuales han terminado?;Acta de constitución del proyecto;Cierre del contrato;Informe de desempeño del trabajo;Activos de los procesos de la organización actualizados;B;"Aunque el ""Cierre del Proyecto o Fase"" se encarga del cierre general, el ""Cierre de Adquisiciones"" es el proceso específico para cerrar formalmente los contratos.";Procesos;Tarea 8: Gestionar comunicaciones;Predictivo;PMI Mindset: El informe de desempeño del trabajo es el output del proceso de monitoreo. Es la base para comunicar el estado.
134;Durante una reunión de planificación de la calidad, el equipo decide implementar revisiones por pares obligatorias para todos los entregables clave de software. ¿Qué proceso se está realizando?;Controlar la calidad;Realizar el aseguramiento de la calidad;Planificar la gestión de la calidad;Validar el alcance;C;Planificar la gestión de la calidad implica identificar los requisitos y/o estándares de calidad para el proyecto y sus entregables, y documentar cómo el proyecto demostrará el cumplimiento.;Procesos;Tarea 7: Gestionar calidad;Predictivo;PMI Mindset: Planificar la Gestión de la Calidad ocurre primero. Define métricas y estándares antes de ejecutar.
135;Un director de proyecto necesita representar visualmente el flujo de trabajo, las dependencias y la secuencia de las actividades del proyecto para identificar la ruta crítica. ¿Qué herramienta o técnica es la más adecuada?;Estructura de Desglose del Trabajo (EDT/WBS);Diagrama de Gantt;Diagrama de Red del Cronograma;Histograma de recursos;C;El diagrama de red del cronograma (también conocido como diagrama de precedencia) muestra las dependencias lógicas y la secuencia en que las actividades se realizarán.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;PMI Mindset: El Diagrama de Red del Cronograma muestra secuencia y dependencias. Base para el análisis de ruta crítica (CPM).
136;En Scrum, si el Product Owner está constantemente ausente y no disponible para el equipo de desarrollo, ¿cuál es la consecuencia MÁS probable?;El Scrum Master asumirá el rol del Product Owner;El equipo de desarrollo se volverá más autoorganizado;La claridad de los requisitos y la entrega de valor pueden verse comprometidas;Las reuniones diarias se volverán más eficientes;C;La disponibilidad del Product Owner es crucial para clarificar requisitos, priorizar el Backlog y guiar al equipo para maximizar el valor entregado.;Procesos;Tarea 13: Determinar metodología;Ágil;PMI Mindset: Sin Product Owner dedicado, el backlog pierde claridad y el equipo no sabe qué priorizar. El rol es esencial.
137;¿Cuál es el propósito principal de un registro de riesgos?;Documentar las acciones completadas y los problemas resueltos;Listar y rastrear los riesgos identificados, sus análisis y respuestas planificadas;Registrar los cambios aprobados en el proyecto;Detallar las comunicaciones planificadas para los interesados;B;El registro de riesgos es el documento principal para mantener un registro de todos los riesgos identificados durante el proyecto.;Procesos;Tarea 8: Gestionar comunicaciones;Predictivo;PMI Mindset: El Plan de Gestión de Comunicaciones documenta qué, cuándo, a quién y cómo. Registrar cambios aprobados es secundario.
138;Un interesado clave tiene una alta influencia en el proyecto pero un bajo interés en participar en las reuniones regulares. ¿Cuál es la MEJOR estrategia de involucramiento para este interesado?;Monitorear solamente, evitando la comunicación excesiva;Mantenerlos informados a través de resúmenes concisos o informes clave;Gestionarlos de cerca y buscar su participación activa en todas las decisiones;Ignorar su baja participación si su influencia no es directa;B;Para interesados de alta influencia y bajo interés, la estrategia más efectiva es mantenerlos informados a través de canales eficientes que no requieran su participación activa constante, pero les permitan estar al tanto de lo crucial.;Personas;Tarea 9: Comprometer interesados;Predictivo;Matriz P/I: Alto poder + bajo interés = mantener satisfecho. No gestionar de cerca, pero tampoco ignorar.
139;En un proyecto ágil, si el equipo no puede completar el incremento comprometido al final de un sprint. ¿Cuál es la MEJOR acción del Scrum Master?;Extender el sprint para que el equipo pueda terminar;Reducir la calidad del trabajo para cumplir con los plazos;Facilitar una discusión para entender por qué el trabajo no se completó y ayudar al equipo a ajustar su plan o velocidad futura;Asignar más tareas al Product Owner para el próximo sprint;C;El Scrum Master debe facilitar la retrospectiva para que el equipo aprenda de la experiencia y ajuste su velocidad o estimaciones para sprints futuros, sin extender el sprint o comprometer la calidad.;Personas;Tarea 1: Gestionar conflictos;Ágil;PMI Mindset Scrum: El Scrum Master facilita la retrospectiva para entender el porqué. No asigna culpas ni más tareas.
140;¿Cuál es la diferencia CLAVE entre un riesgo y un problema (issue) en la gestión de proyectos?;Un riesgo es siempre negativo, un problema puede ser positivo;"Un riesgo es un evento futuro incierto; un problema es un evento que ya ocurrió y tiene un impacto";"Un riesgo se gestiona solo al inicio del proyecto; un problema se gestiona durante la ejecución";"Un riesgo no tiene dueño; un problema siempre tiene un responsable asignado";B;Un riesgo es una incertidumbre potencial que podría ocurrir, mientras que un problema es algo que ya ha sucedido y requiere atención inmediata.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;Riesgo vs Issue: Riesgo = evento futuro incierto. Issue = problema que ya ocurrió. Cada uno tiene su propio registro.
141;En un proyecto, se descubre que un entregable no cumple con las especificaciones técnicas definidas. ¿Qué proceso del PMBOK se encarga de revisar este entregable para identificar y corregir las deficiencias?;Validar el Alcance;Controlar la Calidad;Realizar el Aseguramiento de la Calidad;Cerrar el Proyecto o Fase;B;Controlar la Calidad es el proceso de monitorear y registrar los resultados de la ejecución de las actividades de calidad para evaluar el desempeño y recomendar los cambios necesarios. Es donde se inspeccionan los entregables.;Procesos;Tarea 7: Gestionar calidad;Predictivo;PMI Mindset: Aseguramiento de Calidad = auditar el proceso durante la ejecución. Diferente al Control de Calidad (verificar producto).
142;¿Qué tipo de contrato es el MÁS riesgoso para el vendedor (contratista) si el alcance del proyecto es incierto y puede cambiar significativamente?;Precio Fijo (Fixed Price);Costo Reembolsable (Cost-Reimbursable);Tiempo y Materiales (Time & Materials);Precio Fijo con Incentivos;A;En un contrato de Precio Fijo, el vendedor asume el mayor riesgo, ya que el precio está pactado independientemente de los costos reales en los que incurra. Si el alcance es incierto, un aumento en el trabajo puede resultar en pérdidas para el vendedor.;Procesos;Tarea 11: Gestionar adquisiciones;Predictivo;Contrato T&M: Ideal para alcance incierto o requisitos cambiantes. El riesgo de costo es del comprador. Requiere supervisión activa.
143;Estás en la mitad de un proyecto y el equipo está desmotivado y su productividad ha disminuido. ¿Qué acción debería tomar el director del proyecto para mejorar esta situación?;Reducir el alcance del proyecto para disminuir la presión;Asignar sanciones a los miembros del equipo con bajo rendimiento;Realizar actividades de team building y buscar oportunidades de reconocimiento para el equipo;Escalar el problema al área de recursos humanos para que ellos lo gestionen;C;La gestión del equipo incluye el desarrollo y la motivación. Las actividades de team building y el reconocimiento son herramientas clave para mejorar la moral y el rendimiento.;Personas;Tarea 2: Liderar un equipo;Predictivo;PMI Mindset: Moral baja del equipo = primero entender la causa raíz. Team building y reconocimiento son herramientas del PM.
144;¿Cuál es el propósito principal de una Estructura de Desglose del Trabajo (EDT/WBS)?;Definir la secuencia de las actividades del cronograma;Descomponer el alcance total del proyecto en entregables más pequeños y manejables;Asignar recursos a las actividades específicas;Estimar los costos del proyecto con precisión;B;La EDT es una descomposición jerárquica del alcance total del trabajo a realizar por el equipo del proyecto para cumplir con los objetivos del proyecto y crear los entregables requeridos.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;PMI Mindset: Asignar recursos a actividades es parte de la planificación del cronograma. Precede a estimar duraciones realistas.
145;Un director de proyecto se da cuenta de que la comunicación entre el equipo de desarrollo y el departamento legal es ineficaz, causando retrasos. ¿Qué documento debería revisar para mejorar esta situación?;El plan de gestión de riesgos;El acta de constitución del proyecto;El plan de gestión de las comunicaciones;El registro de problemas;C;El plan de gestión de las comunicaciones detalla cómo, cuándo y por quién se intercambiará la información del proyecto, y con quién. Es el lugar para revisar y ajustar las estrategias de comunicación.;Procesos;Tarea 8: Gestionar comunicaciones;Predictivo;PMI Mindset: El Plan de Comunicaciones es la primera referencia para resolver quejas de interesados sobre falta de información.
146;En un proyecto ágil, ¿quién tiene la autoridad final para decidir qué elementos se incluirán en el Product Backlog y en qué orden se priorizarán?;El Scrum Master;El Equipo de Desarrollo;El Product Owner;El Patrocinador;C;El Product Owner es el único responsable de la gestión del Product Backlog, lo que incluye su contenido, orden y disponibilidad.;Personas;Tarea 4: Empoderar miembros del equipo;Ágil;PMI Mindset: En Scrum, el Product Owner decide QUÉ. El equipo decide CÓMO. El Scrum Master facilita. Roles bien separados.
147;Una vez que todos los entregables del proyecto han sido formalmente aceptados por el cliente, ¿cuál es el siguiente paso CLAVE que debe realizar el director del proyecto?;Liberar al equipo del proyecto;Realizar la auditoría final de calidad;Cerrar formalmente el proyecto o la fase;Actualizar el registro de interesados;C;"Después de la aceptación de los entregables, el siguiente paso lógico es realizar el proceso de ""Cerrar el Proyecto o Fase"" para formalizar la finalización administrativa.";Procesos;Tarea 17: Gestionar el cierre;Predictivo;PMI Mindset: El cierre formal incluye aceptación del cliente, archivo de documentos y liberación de recursos. Las lecciones aprendidas se documentan.
148;¿Qué representa el EV (Valor Ganado) en el análisis del valor ganado?;El costo real incurrido en el trabajo completado;El valor del trabajo que se planificó realizar hasta la fecha;El valor del trabajo realmente completado, expresado en términos del presupuesto autorizado para ese trabajo;La diferencia entre el valor planificado y el costo real;C;El Valor Ganado (EV) es el valor presupuestado del trabajo completado. Es la cantidad de presupuesto asignada al trabajo que se ha completado hasta la fecha.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;Fórmula EVM: EV = Valor Ganado = trabajo completado valorado a su costo presupuestado. Es la base de todos los índices EVM.
149;¿Cuál es la principal ventaja de utilizar un Diagrama de Ishikawa (Espina de Pescado) en la gestión de proyectos?;Muestra la relación entre actividades y el tiempo;Ayuda a identificar y visualizar las posibles causas raíz de un problema;Estima la probabilidad de cumplir el cronograma;Documenta los entregables del proyecto de forma jerárquica;B;El Diagrama de Ishikawa, o diagrama de causa y efecto, es una herramienta utilizada para explorar todas las causas posibles (y no solo las más obvias) de un efecto o problema específico.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;PMI Mindset: Monte Carlo estima probabilidad de cumplir cronograma. La WBS documenta entregables. No confundas herramientas.
150;En un proyecto ágil, el equipo está teniendo dificultades para colaborar y hay falta de transparencia en su progreso. ¿Qué artefacto o práctica podría ayudar MEJOR a mejorar esta situación?;El Product Backlog;El Daily Scrum;El Sprint Review;El Burndown Chart;B;El Daily Scrum (reunión diaria) es fundamental para la transparencia y la colaboración, ya que permite al equipo sincronizarse, identificar impedimentos y planificar las próximas 24 horas.;Procesos;Tarea 1: Ejecutar con urgencia;Ágil;PMI Mindset: El Sprint Review muestra trabajo completado al cliente para obtener feedback. El Burndown Chart es solo una herramienta visual.
151;Un proyecto ha experimentado una serie de eventos negativos imprevistos. Para aprender de estas experiencias y mejorar la gestión de proyectos futuros, ¿qué actividad debería realizarse?;Realizar auditorías de calidad;Desarrollar un plan de gestión de riesgos más detallado;Documentar las lecciones aprendidas;Realizar un análisis de valor ganado;C;Las lecciones aprendidas son un componente clave de la gestión del conocimiento del proyecto y se utilizan para mejorar el rendimiento de proyectos futuros.;Procesos;Tarea 17: Gestionar el cierre;Predictivo;PMI Mindset: Las lecciones aprendidas se documentan durante Y al final del proyecto. Son activos organizacionales reutilizables.
152;¿Cuál es la principal desventaja de usar el método de la Ruta Crítica (CPM) sin reservas en el cronograma?;No permite identificar holguras;No considera la asignación de recursos;No incorpora la variabilidad o incertidumbre en las duraciones de las actividades;Solo aplica a proyectos pequeños;C;CPM calcula la duración más corta del proyecto basándose en las duraciones determinísticas de las actividades críticas. No incorpora la incertidumbre, para eso se usan técnicas como Monte Carlo o PERT que añaden reservas.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;PMI Mindset: CPM = duración determinística, sin incertidumbre. Para incorporar variabilidad usa PERT o Monte Carlo. Son complementarios.
153;Si el VAC (Varianza al Término) de tu proyecto es un valor positivo, ¿qué indica esto?;El proyecto terminará antes de lo previsto;El proyecto se completará con un costo menor al presupuesto original;El proyecto se completará con un costo mayor al presupuesto original;El alcance del proyecto ha aumentado;B;VAC = BAC (Presupuesto al Término) - EAC (Estimación al Término). Un VAC positivo significa que el proyecto se espera que termine por debajo del presupuesto original.;Procesos;Tarea 1: Ejecutar con urgencia;Ágil;ENTREGA DE VALOR: En Ágil, el éxito no es completar tareas, sino entregar incrementos que el cliente pueda usar para generar ingresos.
154;"¿Cuál es el objetivo principal del proceso ""Planificar la Gestión de Riesgos""?";Identificar todos los riesgos del proyecto;Asignar propietarios a los riesgos identificados;Decidir cómo se abordarán los riesgos durante el proyecto;Desarrollar un plan de contingencia para cada riesgo;C;Este proceso decide el enfoque para la gestión de riesgos en el proyecto, es decir, cómo se planificarán, identificarán, analizarán, responderán y monitorearán los riesgos.;Personas;Tarea 1: Gestionar conflictos;Híbrido;ORDEN DE ACCIONES: Si el conflicto escala a un nivel donde afecta la seguridad del equipo, el PM debe intervenir de forma directa y firme.
155;En un entorno híbrido, un componente del proyecto se gestiona de forma predictiva y otro de forma ágil. Un cambio significativo surge en el componente predictivo. ¿Qué debe hacerse PRIMERO?;Implementar el cambio directamente si el cliente lo solicita;Aplicar el proceso de control integrado de cambios para ese componente;Escalar al Product Owner del componente ágil para que lo evalúe;Rechazar el cambio para no afectar la línea base;B;En un entorno híbrido, los cambios en componentes predictivos aún deben seguir un proceso formal de control de cambios, que incluye análisis de impacto y aprobación.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;RIESGO vs ISSUE: Las respuestas a los riesgos (Evitar, Mitigar, Transferir, Aceptar) se planifican ANTES de que el evento ocurra.
156;El equipo de un proyecto ágil está teniendo dificultades con la comunicación y la colaboración debido a un conflicto entre dos miembros. ¿Qué es lo más adecuado que debe hacer el Scrum Master?;Reasignar a los miembros en conflicto a diferentes equipos;Escalar el conflicto al patrocinador;Facilitar una sesión de mediación y coaching para resolver el conflicto;Ignorar el conflicto, esperando que el equipo lo resuelva por sí mismo;C;El Scrum Master es un facilitador y un líder de servicio. Parte de su rol es eliminar impedimentos y mejorar la colaboración dentro del equipo.;Personas;Tarea 7: Liderazgo;Ágil;SERVANT LEADERSHIP: Un líder servidor no toma las decisiones por el equipo, sino que crea el entorno para que el equipo tome las mejores decisiones.
157;¿Cuál es el propósito principal de una lista de verificación de calidad (checklist)?;Registrar las lecciones aprendidas al final del proyecto;Inspeccionar si un conjunto de pasos o atributos requeridos se han completado correctamente;Medir el nivel de satisfacción del cliente;Estimar los costos de las actividades de calidad;B;Las listas de verificación de calidad son herramientas de control de calidad utilizadas para verificar que todos los elementos necesarios se han completado o están presentes.;Entorno;Tarea 1: Cumplimiento;Híbrido;COMPLIANCE: El PM debe verificar que los proveedores externos también cumplan con las normativas del proyecto para evitar riesgos legales.
158;Un proyecto está por encima del presupuesto (CPI < 1) pero adelantado en el cronograma (SPI > 1). ¿Cuál es la MEJOR acción del director del proyecto?;Centrarse en acelerar el cronograma aún más;Ignorar el desempeño del costo ya que el cronograma va bien;Investigar la causa raíz del sobrecosto y tomar acciones correctivas para el presupuesto;Solicitar un aumento de presupuesto al patrocinador;C;Aunque el proyecto vaya adelantado, un CPI < 1 indica ineficiencia en costos. Es fundamental investigar por qué se está gastando más de lo previsto para corregirlo.;Procesos;Tarea 13: Metodología;Híbrido;TAILORING: Si el hardware tiene diseño fijo y el software es iterativo, usa un enfoque híbrido con puntos de integración claros.
159;¿Qué documento autoriza formalmente un proyecto y proporciona al director del proyecto la autoridad para asignar recursos de la organización a las actividades del proyecto?;Plan para la dirección del proyecto;Estructura de Desglose del Trabajo (EDT/WBS);Acta de Constitución del Proyecto (Project Charter);Registro de Interesados;C;El Acta de Constitución del Proyecto es el documento que formaliza la existencia del proyecto y otorga la autoridad al director del proyecto.;Personas;Tarea 2: Liderar un equipo;Predictivo;MINDSET: En equipos jerárquicos, el PM usa su autoridad referencial y experta para ganar confianza, no solo su autoridad formal.
